Test,Method,G,p_false_positive,se,ci_low,ci_high,rho,lambda,calibration_G,n_sim
Scalar region null,Conventional,25,0.287,0.006397358830017275,0.2744611766931661,0.29953882330683385,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,26,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,26,0.2902,0.006418472715529762,0.27761979347756166,0.30278020652243837,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,27,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,27,0.2928,0.006435342415132237,0.28018672886634083,0.3054132711336592,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,28,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,28,0.2948,0.006448146400323119,0.2821616330553667,0.30743836694463333,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,29,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,29,0.2974,0.006464568663105064,0.2847294454203141,0.3100705545796859,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,30,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,30,0.3008,0.006485666658100769,0.28808809335012253,0.3135119066498775,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,31,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,31,0.3038,0.006503930503933756,0.29105229621228984,0.3165477037877102,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,32,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,32,0.3078,0.006527773893143052,0.29500556316943966,0.3205944368305604,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,33,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,33,0.3096,0.006538315379361874,0.29678490185645073,0.32241509814354924,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,34,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,34,0.3124,0.006554483045977005,0.2995532132298851,0.3252467867701149,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,35,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,35,0.3146,0.006566990787263219,0.30172869805696406,0.3274713019430359,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,36,0,0,0,0,0.995,303.8730841675049,2500,5000
