Test,Method,G,p_false_positive,se,ci_low,ci_high,rho,lambda,calibration_G,n_sim
Scalar region null,Conventional,94,0.5042,0.007070818340192315,0.490341196053223,0.518058803946777,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,95,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,95,0.505,0.007070714249635605,0.4911414000707142,0.5188585999292858,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,96,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,96,0.505,0.007070714249635605,0.4911414000707142,0.5188585999292858,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,97,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,97,0.5054,0.007070655415164849,0.4915415153862769,0.519258484613723,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,98,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,98,0.5066,0.0070704517536010385,0.49274191456294203,0.5204580854370581,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,99,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,99,0.5066,0.0070704517536010385,0.49274191456294203,0.5204580854370581,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,100,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,100,0.5068,0.007070413849273605,0.4929419888554238,0.5206580111445763,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,101,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,101,0.5068,0.007070413849273605,0.4929419888554238,0.5206580111445763,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,102,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,102,0.5074,0.007070293346106652,0.4935422250416309,0.521257774958369,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,103,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,103,0.5078,0.007070207351980562,0.49394239359011816,0.5216576064098819,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,104,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,104,0.5084,0.007070069872356284,0.49454266305018163,0.5222573369498182,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,105,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,105,0.5086,0.007070021782144663,0.4947427573069965,0.5224572426930036,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,106,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,106,0.5088,0.007069972560059904,0.49494285378228264,0.5226571462177174,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,107,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,107,0.5096,0.007069764352508505,0.4957432618690834,0.5234567381309168,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,108,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,108,0.5098,0.007069709470692555,0.4959433694374426,0.5236566305625574,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,109,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,109,0.5108,0.007069418080719233,0.4969439405617903,0.5246560594382097,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,110,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,110,0.511,0.007069356406349874,0.4971440614435543,0.5248559385564457,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,111,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,111,0.5118,0.007069098386640265,0.4979445671621851,0.5256554328378149,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,112,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,112,0.512,0.007069031050999847,0.49814469914004034,0.5258553008599597,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,114,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,114,0.513,0.007068677386894949,0.4991453923216859,0.5268546076783142,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,115,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,115,0.5144,0.007068134690284276,0.5005464560070428,0.5282535439929571,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,116,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,116,0.5146,0.007068052631382989,0.5007466168424893,0.5284533831575106,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,117,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,117,0.5148,0.007067969439662285,0.500946779898262,0.5286532201017381,0.995,303.8730841675049,2500,5000
Scalar region null,Anytime-valid,118,0,0,0,0,0.995,303.8730841675049,2500,5000
Scalar region null,Conventional,118,0.515,0.007067885115082163,0.501146945174439,0.528853054825561,0.995,303.8730841675049,2500,5000
