responseid,resp_order,contest,winner,orig_1ys,orig_3ys,orig_8ys,orig_FM_sp,orig_MD_sp,orig_law,orig_may,orig_leg,orig_1ch,orig_3ch,orig_45,orig_65,orig_cand_female
19usa voter,18,2,1,1,0,0,1,0,0,1,0,0,0,0,1,1
19usa voter,18,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1
19usa voter,18,3,1,0,0,0,0,0,1,0,0,0,1,1,0,0
19usa voter,18,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1
20usa voter,19,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
20usa voter,19,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1
20usa voter,19,2,0,0,0,0,0,1,1,0,0,0,1,0,0,1
20usa voter,19,2,1,0,0,1,1,0,1,0,0,1,0,0,0,1
20usa voter,19,3,1,0,0,1,1,0,1,0,0,0,1,1,0,0
20usa voter,19,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0
21usa voter,20,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0
21usa voter,20,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1
21usa voter,20,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1
21usa voter,20,2,1,1,0,0,0,0,0,1,0,0,0,0,1,1
21usa voter,20,3,1,0,1,0,0,1,0,0,1,0,0,0,1,0
21usa voter,20,3,0,0,1,0,0,1,0,0,1,0,0,0,1,0
23usa voter,21,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1
23usa voter,21,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0
23usa voter,21,2,1,1,0,0,0,1,0,1,0,0,1,1,0,1
23usa voter,21,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0
23usa voter,21,3,0,0,0,0,0,1,1,0,0,0,1,1,0,1
23usa voter,21,3,1,1,0,0,0,0,0,0,1,0,1,0,0,0
24usa voter,22,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1
24usa voter,22,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0
24usa voter,22,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0
24usa voter,22,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1
24usa voter,22,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0
24usa voter,22,3,1,0,0,1,0,1,0,1,0,0,0,1,0,1
25usa voter,23,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0
25usa voter,23,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
25usa voter,23,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0
25usa voter,23,2,1,1,0,0,1,0,0,1,0,0,1,0,1,0
25usa voter,23,3,0,0,1,0,1,0,0,0,1,0,0,0,0,1
25usa voter,23,3,1,0,0,0,0,1,0,0,0,0,1,0,1,1
26usa voter,24,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0
26usa voter,24,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
26usa voter,24,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0
26usa voter,24,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0
26usa voter,24,3,0,0,1,0,0,1,0,1,0,0,1,0,1,0
26usa voter,24,3,1,0,0,1,1,0,0,1,0,0,0,1,0,1
27usa voter,25,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1
27usa voter,25,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0
27usa voter,25,2,1,0,0,1,1,0,1,0,0,1,0,1,0,0
27usa voter,25,2,0,0,1,0,0,1,0,0,1,1,0,1,0,1
27usa voter,25,3,1,0,0,1,0,1,1,0,0,1,0,0,1,1
27usa voter,25,3,0,0,1,0,0,1,1,0,0,0,0,0,1,1
28usa voter,26,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0
28usa voter,26,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1
28usa voter,26,2,1,0,1,0,1,0,0,0,0,0,0,0,1,0
28usa voter,26,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0
28usa voter,26,3,0,1,0,0,1,0,0,0,1,0,1,0,0,1
28usa voter,26,3,1,0,0,1,0,1,0,0,1,0,0,0,1,1
29usa voter,27,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1
29usa voter,27,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0
29usa voter,27,2,1,0,1,0,1,0,0,0,1,0,0,1,0,0
29usa voter,27,2,0,1,0,0,0,0,0,0,1,0,1,0,0,1
29usa voter,27,3,0,0,0,1,0,1,1,0,0,1,0,0,0,0
29usa voter,27,3,1,0,1,0,0,1,0,1,0,0,1,1,0,1
30usa voter,28,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1
30usa voter,28,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1
30usa voter,28,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0
30usa voter,28,2,0,0,0,1,1,0,0,1,0,0,1,0,1,1
30usa voter,28,3,1,0,0,0,0,1,1,0,0,0,1,0,0,0
30usa voter,28,3,0,0,1,0,0,0,0,0,1,1,0,0,0,1
31usa voter,29,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0
31usa voter,29,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1
31usa voter,29,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1
31usa voter,29,2,1,0,1,0,0,0,0,1,0,0,0,1,0,0
31usa voter,29,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0
31usa voter,29,3,1,1,0,0,0,1,0,1,0,0,1,1,0,1
32usa voter,30,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
32usa voter,30,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0
32usa voter,30,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1
32usa voter,30,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0
32usa voter,30,3,1,0,0,0,1,0,1,0,0,0,1,1,0,1
32usa voter,30,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0
33usa voter,31,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1
33usa voter,31,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1
33usa voter,31,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0
33usa voter,31,2,1,0,0,0,0,0,0,1,0,0,1,0,1,0
33usa voter,31,3,1,0,0,0,0,1,0,0,1,1,0,1,0,0
33usa voter,31,3,0,0,1,0,1,0,0,0,0,1,0,0,1,1
34usa voter,32,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1
34usa voter,32,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1
34usa voter,32,2,1,0,0,1,1,0,0,0,1,1,0,0,0,1
34usa voter,32,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34usa voter,32,3,0,0,1,0,0,0,1,0,0,0,0,0,1,1
34usa voter,32,3,1,0,1,0,1,0,0,1,0,0,1,1,0,1
35usa voter,33,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
35usa voter,33,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
35usa voter,33,2,0,1,0,0,0,1,0,1,0,0,0,1,0,0
35usa voter,33,2,1,0,0,1,0,1,0,0,0,1,0,0,0,1
